_id,temperature,humidity,soil_moisture,ph,N,P,K,__v
6427001c9cc01216574f8e82,33,39,63,5.44,113,97,113,0
642700869cc01216574f8eb2,33,39,209,5.79,59,85,111,0
642700989cc01216574f8ec7,33,39,209,5.61,59,85,111,0
6427009a9cc01216574f8eca,33,39,209,5.78,59,85,111,0
642704189cc01216574f9254,33,39,76,5.27,350,29,233,0
6427041b9cc01216574f9257,33,39,61,5.29,350,29,233,0
6427041e9cc01216574f925a,33,39,60,5.1,350,29,233,0
642704209cc01216574f925d,33,39,59,5.28,350,29,233,0
642704209cc01216574f925d,33,39,59,5.28,350,29,233,0
642704239cc01216574f9260,33,39,59,5.3,350,29,233,0
642704269cc01216574f9263,33,39,60,5.09,350,29,233,0
642704269cc01216574f9263,33,39,60,5.09,350,29,233,0
642704289cc01216574f9266,33,39,60,5.28,350,29,233,0
6427042b9cc01216574f9269,33,39,59,5.12,350,29,233,0
6427044e9cc01216574f9287,33,39,89,5.37,350,29,233,0
642705229cc01216574f92f6,33,39,209,5.35,400,27,161,0
642705229cc01216574f92f6,33,39,209,5.35,400,27,161,0
6429287c5181c7b37fc90441,26,40,209,6.69,443,26,188,0
642bc78c641eeb73460191e8,27,43,72,4.36,233,29,289,0
642bc78c641eeb73460191e8,27,43,72,4.36,233,29,289,0
642bc78c641eeb73460191e8,27,43,72,4.36,233,29,289,0
