,Date,Rainfall,Rain Status,Rainfall Amount,Rain Intensity
0,2023-02-22,0,Not Raining,0.0,
1,2023-02-23,0,Not Raining,0.0,
2,2023-02-24,0,Not Raining,0.0,
3,2023-02-25,0,Not Raining,0.0,
4,2023-02-26,0,Not Raining,0.0,
5,2023-02-27,0,Not Raining,0.0,
6,2023-02-28,0,Not Raining,0.0,
7,2023-03-01,1,Raining,9.2,High
8,2023-03-02,0,Not Raining,0.0,
9,2023-03-03,0,Not Raining,0.0,
10,2023-03-04,1,Raining,2.9,Light
11,2023-03-05,0,Not Raining,0.0,
12,2023-03-06,0,Not Raining,0.0,
13,2023-03-07,0,Not Raining,0.0,
14,2023-03-08,0,Not Raining,0.0,
15,2023-03-09,0,Not Raining,0.0,
16,2023-03-10,1,Raining,4.1,Moderate
17,2023-03-11,0,Not Raining,0.0,
18,2023-03-12,0,Not Raining,0.0,
19,2023-03-13,0,Not Raining,0.0,
20,2023-03-14,0,Not Raining,0.0,
21,2023-03-15,0,Not Raining,0.0,
22,2023-03-16,0,Not Raining,0.0,
23,2023-03-17,1,Raining,2.7,Light
24,2023-03-18,1,Raining,1.6,Light
25,2023-03-19,0,Not Raining,0.0,
26,2023-03-20,0,Not Raining,0.0,
27,2023-03-21,0,Not Raining,0.0,
28,2023-03-22,0,Not Raining,0.0,
